"id_national","month","andeb","anfin","tmm","tnm","txm","rrtm"
12929111,9,1961,1990,25.3,18.9,31.7,29.6
12929111,10,1961,1990,21,15.3,26.8,71.3
12929111,11,1961,1990,15.2,9.9,20.5,50
12929111,12,1961,1990,10.5,5.8,15.4,54.3
22323111,1,1961,1990,9.9,5,14.8,85.3
22323111,2,1961,1990,10.5,4.5,16.4,77.1
22323111,3,1961,1990,11.9,6.1,17.6,64.1
22323111,4,1961,1990,14.9,7.7,22.1,50.7
22323111,5,1961,1990,19.1,11.5,26.7,28.7
22323111,6,1961,1990,23.2,14.9,31.4,17.8
22323111,7,1961,1990,27,18.4,35.4,4.6
22323111,8,1961,1990,27.8,19.5,36.1,6
22323111,9,1961,1990,24.8,17.3,32.3,37
22323111,10,1961,1990,20.9,14.3,27.5,65.8
22323111,11,1961,1990,14.6,9.2,19.9,63.8
22323111,12,1961,1990,10.9,6,15.7,72.6
22323731,1,1961,1990,9.1,4.6,13.6,77.7
22323731,2,1961,1990,9.7,4.7,14.7,68.9
22323731,3,1961,1990,11.2,5.7,16.8,69.7
22323731,4,1961,1990,13.2,7.1,19.3,51.9
22323731,5,1961,1990,17.8,10.5,25.1,30.7
22323731,6,1961,1990,22.5,14.7,30.4,19.2
22323731,7,1961,1990,25.7,17.3,34,7.7
22323731,8,1961,1990,26.2,18.3,34.1,11.1
22323731,9,1961,1990,23,16.2,29.7,33.5
22323731,10,1961,1990,18.1,12.4,23.9,58.4
22323731,11,1961,1990,13.5,8.4,18.6,51.9
22323731,12,1961,1990,10.3,5.8,14.8,72.2
22323831,1,1961,1990,12.3,8.2,16.4,134.9
22323831,2,1961,1990,12.6,8.7,16.6,94
22323831,3,1961,1990,13.4,8.7,18.1,87.3
22323831,4,1961,1990,15.9,11.5,20.3,84.7
22323831,5,1961,1990,22.2,16.9,27.7,37.5
22323831,6,1961,1990,24.7,19.3,30.1,14.7
22323831,7,1961,1990,27.5,21.1,33.9,4.3
22323831,8,1961,1990,28.5,22.3,34.9,7.3
22323831,9,1961,1990,24.8,20,29.7,32.3
22323831,10,1961,1990,20.4,15.7,25.2,105.9
22323831,11,1961,1990,16.6,12.4,20.8,163.1
22323831,12,1961,1990,13.3,9.1,17.5,155.6
22525111,1,1961,1990,9.9,5,15.2,58.5
22525111,2,1961,1990,10.5,5,16.4,51.3
22525111,3,1961,1990,11.8,5.9,18.3,52.4
22525111,4,1961,1990,14.6,7.7,21.6,41.9
22525111,5,1961,1990,19.1,11.2,27.1,29.4
22525111,6,1961,1990,23.7,15.4,32.1,18.8
22525111,7,1961,1990,27,18.1,36.1,3.9
22525111,8,1961,1990,27.1,18.8,35.9,14.9
22525111,9,1961,1990,24.2,16.7,31.8,32.1
22525111,10,1961,1990,19.4,12.7,26.1,45.2
22525111,11,1961,1990,14.4,8.5,20.4,42.1
22525111,12,1961,1990,11,5.8,16.2,55.8
22525211,1,1961,1990,11.9,8.1,15.6,140.7
22525211,2,1961,1990,12.1,8.1,16.1,118.3
22525211,3,1961,1990,12.9,8.6,17.2,97.3
22525211,4,1961,1990,15,10.4,19.6,68.8
22525211,5,1961,1990,18.1,13.3,22.9,35.9
22525211,6,1961,1990,21.6,16.3,26.7,12.3
22525211,7,1961,1990,24.8,19.3,30.2,4.2
22525211,8,1961,1990,25,19.7,30.3,11.2
